               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066612,            0.033594,            0.036503,              0.4881,              0.7718,             0.65061,             0.32102,            0.044592,            0.013927,            0.018593,           0.0033166,           0.0033166,            0.070151
                   1,            0.056203,            0.021434,            0.017274,             0.57582,             0.77344,             0.70266,             0.34016,            0.049407,           0.0097207,            0.008481,            0.006606,            0.006606,            0.040107
                   2,            0.053246,            0.017674,            0.011788,             0.61479,             0.77856,             0.68024,             0.32939,            0.048066,            0.009249,           0.0074731,           0.0098515,           0.0098515,            0.010019
                   3,            0.045653,            0.017879,            0.010625,             0.72958,             0.85291,             0.85632,             0.48449,            0.034963,           0.0092194,           0.0067675,            0.009802,            0.009802,            0.009802
                   4,            0.037009,            0.018826,           0.0090047,             0.86122,             0.87464,             0.91643,             0.60194,            0.030731,           0.0090911,           0.0069728,            0.009802,            0.009802,            0.009802
                   5,             0.03285,            0.018518,           0.0092397,             0.81735,              0.8694,             0.89467,             0.59302,            0.027203,           0.0097559,           0.0079279,            0.009736,            0.009736,            0.009736
                   6,            0.030324,            0.018607,           0.0087053,             0.92451,             0.91644,             0.95379,             0.70037,             0.02356,           0.0089399,           0.0043723,             0.00967,             0.00967,             0.00967
                   7,            0.027703,             0.01814,           0.0075946,             0.91996,             0.94144,              0.9559,             0.68377,            0.024361,           0.0085452,           0.0050698,            0.009604,            0.009604,            0.009604
                   8,            0.028329,            0.018073,            0.006876,             0.90881,             0.94455,             0.95724,             0.70066,            0.022417,            0.008588,           0.0055552,            0.009538,            0.009538,            0.009538
                   9,            0.026509,             0.01765,           0.0066984,             0.92353,             0.91576,             0.94903,             0.69533,            0.023921,           0.0084852,           0.0055994,            0.009472,            0.009472,            0.009472
                  10,            0.025175,            0.017351,           0.0062382,             0.93685,             0.91374,             0.96325,             0.75468,            0.020572,           0.0085015,           0.0044773,            0.009406,            0.009406,            0.009406
                  11,            0.024267,            0.016536,           0.0060822,             0.94832,             0.92201,             0.96472,              0.7647,            0.020291,           0.0082813,           0.0041668,             0.00934,             0.00934,             0.00934
                  12,            0.023524,            0.016674,           0.0050079,             0.92277,             0.94011,             0.96142,             0.74586,            0.020948,           0.0083054,           0.0047217,            0.009274,            0.009274,            0.009274
                  13,            0.022905,            0.016247,           0.0065223,             0.93201,             0.92591,              0.9563,             0.76148,            0.017985,           0.0083212,           0.0052179,            0.009208,            0.009208,            0.009208
                  14,            0.022612,            0.016329,           0.0057329,              0.9432,             0.87175,             0.93771,             0.72573,            0.020197,           0.0087979,           0.0065794,            0.009142,            0.009142,            0.009142
                  15,            0.023224,            0.016446,           0.0051284,             0.93102,             0.91371,             0.95802,             0.73998,            0.019662,           0.0083657,           0.0047658,            0.009076,            0.009076,            0.009076
                  16,            0.022341,            0.016525,             0.00547,              0.9058,             0.93726,             0.95461,             0.76599,            0.019355,           0.0082932,           0.0041781,             0.00901,             0.00901,             0.00901
                  17,            0.022136,            0.015698,           0.0044076,             0.90788,             0.94795,             0.95956,             0.73023,            0.020355,           0.0084267,           0.0031787,            0.008944,            0.008944,            0.008944
                  18,            0.021232,            0.015254,           0.0043731,             0.95171,             0.92684,             0.97061,              0.7606,            0.019058,           0.0082355,           0.0033913,            0.008878,            0.008878,            0.008878
                  19,            0.021186,            0.015476,           0.0048219,             0.94358,             0.91788,             0.96657,             0.78483,            0.017416,           0.0080148,           0.0045323,            0.008812,            0.008812,            0.008812
                  20,            0.021005,            0.015643,           0.0056833,                0.88,             0.89288,             0.92783,             0.73925,            0.017487,           0.0085615,           0.0072077,            0.008746,            0.008746,            0.008746
                  21,            0.019963,            0.015993,           0.0063466,             0.93593,             0.89484,             0.94888,             0.73422,            0.018137,           0.0084211,           0.0052997,             0.00868,             0.00868,             0.00868
                  22,            0.020046,            0.016558,           0.0052668,             0.92228,             0.92809,             0.95525,             0.76706,            0.016593,           0.0085959,           0.0038138,            0.008614,            0.008614,            0.008614
                  23,            0.020036,            0.015687,           0.0039429,             0.94343,             0.93231,             0.96301,             0.76905,            0.017659,           0.0081365,           0.0035945,            0.008548,            0.008548,            0.008548
                  24,            0.019718,            0.015872,           0.0042077,             0.92221,             0.91797,             0.95748,             0.76887,            0.016589,           0.0079561,           0.0058829,            0.008482,            0.008482,            0.008482
                  25,            0.019787,            0.015602,           0.0042678,             0.95235,             0.92744,             0.96408,              0.7904,            0.016566,           0.0082161,           0.0034488,            0.008416,            0.008416,            0.008416
                  26,            0.019159,            0.014827,           0.0043517,             0.94845,             0.93598,             0.96589,             0.78861,            0.016891,           0.0083143,           0.0029072,             0.00835,             0.00835,             0.00835
                  27,             0.01904,            0.014847,           0.0035218,             0.95394,             0.94933,             0.96759,             0.78541,            0.016808,           0.0080223,           0.0036771,            0.008284,            0.008284,            0.008284
