               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064003,            0.022306,            0.035292,             0.18916,             0.25032,              0.1822,            0.064215,            0.060764,           0.0097344,            0.031231,           0.0033277,           0.0033277,             0.07005
                   1,            0.049843,               0.018,            0.027326,             0.34603,             0.65001,             0.43569,             0.15239,            0.053975,           0.0067759,            0.020415,           0.0065292,           0.0065292,            0.039918
                   2,            0.047993,            0.016206,            0.021387,             0.46896,             0.65806,             0.48156,              0.1649,            0.050601,           0.0060482,            0.012926,           0.0095986,           0.0095986,           0.0096546
                   3,            0.042473,            0.015607,            0.015913,             0.75716,             0.81315,             0.80704,             0.45289,            0.034603,           0.0061301,             0.01014,            0.009406,            0.009406,            0.009406
                   4,            0.036058,            0.015796,            0.013822,             0.79827,             0.81315,             0.86255,             0.54793,            0.030128,            0.005797,           0.0099453,            0.009406,            0.009406,            0.009406
                   5,            0.032093,            0.014973,            0.011347,               0.821,             0.86233,             0.88407,             0.54452,            0.026738,           0.0055058,           0.0071715,            0.009208,            0.009208,            0.009208
                   6,            0.029301,            0.014671,            0.010315,             0.90835,             0.84126,             0.90317,             0.60116,            0.026384,           0.0054298,           0.0066643,             0.00901,             0.00901,             0.00901
                   7,            0.028417,            0.014921,            0.010402,             0.93153,             0.86093,             0.91414,             0.58852,            0.024913,           0.0055049,           0.0061568,            0.008812,            0.008812,            0.008812
                   8,            0.027588,            0.014579,           0.0094672,             0.91843,             0.88263,             0.92603,             0.60683,             0.02665,           0.0052718,           0.0055192,            0.008614,            0.008614,            0.008614
                   9,            0.025801,            0.014023,           0.0088625,             0.90726,              0.8651,             0.90787,             0.67368,            0.021277,           0.0055231,           0.0067623,            0.008416,            0.008416,            0.008416
                  10,            0.024825,            0.014061,           0.0081698,             0.91684,             0.87626,             0.92187,              0.6406,             0.02328,           0.0051937,            0.006261,            0.008218,            0.008218,            0.008218
                  11,            0.024225,            0.013638,           0.0077174,             0.91882,             0.87318,             0.92066,             0.66153,            0.021318,           0.0052679,           0.0057561,             0.00802,             0.00802,             0.00802
                  12,            0.023033,             0.01349,           0.0076953,             0.91034,             0.89904,             0.92983,             0.69814,            0.020757,           0.0051575,           0.0057851,            0.007822,            0.007822,            0.007822
                  13,            0.022765,            0.013206,           0.0064371,             0.91343,              0.8855,             0.93346,             0.66694,             0.02243,           0.0052868,           0.0054747,            0.007624,            0.007624,            0.007624
                  14,            0.022592,            0.013181,           0.0058083,             0.94058,             0.87863,             0.93384,             0.70376,            0.018855,           0.0050461,           0.0056733,            0.007426,            0.007426,            0.007426
                  15,            0.021578,            0.012797,           0.0061232,             0.91481,              0.8789,             0.92643,             0.69414,            0.019138,           0.0050975,           0.0055229,            0.007228,            0.007228,            0.007228
                  16,            0.021068,            0.012666,           0.0060075,             0.90272,             0.87036,             0.92226,             0.68412,            0.018154,            0.005139,           0.0060862,             0.00703,             0.00703,             0.00703
                  17,             0.02031,            0.012337,           0.0054874,             0.92046,             0.89197,             0.93483,              0.7119,            0.017752,           0.0050869,           0.0046215,            0.006832,            0.006832,            0.006832
                  18,            0.020183,            0.012557,           0.0048649,             0.90963,             0.89047,             0.92033,             0.70538,            0.017425,           0.0048725,           0.0055613,            0.006634,            0.006634,            0.006634
                  19,             0.01942,            0.012165,           0.0053974,             0.92943,             0.88358,             0.94282,             0.72466,            0.018074,           0.0048111,            0.005267,            0.006436,            0.006436,            0.006436
                  20,            0.019666,            0.012245,           0.0052892,             0.92791,             0.89598,             0.93756,             0.73984,            0.017343,           0.0048333,           0.0047592,            0.006238,            0.006238,            0.006238
                  21,            0.018968,            0.012115,           0.0051006,             0.94213,              0.9013,             0.94345,             0.73312,            0.016463,           0.0048101,           0.0049132,             0.00604,             0.00604,             0.00604
                  22,            0.018318,            0.012042,           0.0044123,              0.9283,             0.89933,             0.93469,             0.71786,            0.017558,           0.0048728,           0.0052331,            0.005842,            0.005842,            0.005842
                  23,            0.018013,            0.011485,            0.004217,             0.92091,             0.89861,             0.94242,             0.73443,            0.015701,           0.0047632,           0.0044538,            0.005644,            0.005644,            0.005644
                  24,            0.018038,              0.0118,           0.0044521,             0.92789,              0.8895,             0.93682,             0.73739,            0.017028,           0.0046563,           0.0052288,            0.005446,            0.005446,            0.005446
                  25,            0.017273,            0.011659,           0.0037285,             0.93781,             0.89599,             0.93952,             0.74503,            0.015567,           0.0047474,           0.0049633,            0.005248,            0.005248,            0.005248
                  26,             0.01713,            0.011171,           0.0034777,             0.92238,             0.91481,             0.94219,             0.74645,             0.01527,           0.0047231,           0.0045685,             0.00505,             0.00505,             0.00505
                  27,            0.016775,             0.01122,           0.0032544,             0.94302,             0.90047,             0.94529,             0.75859,            0.015482,           0.0045385,           0.0048547,            0.004852,            0.004852,            0.004852
                  28,            0.016117,            0.010783,           0.0031664,             0.92144,             0.90267,             0.94346,             0.76255,             0.01455,           0.0044852,            0.004285,            0.004654,            0.004654,            0.004654
                  29,            0.016112,            0.011093,           0.0032547,             0.93612,             0.90708,              0.9457,             0.75818,            0.014908,           0.0045275,           0.0043389,            0.004456,            0.004456,            0.004456
                  30,            0.015758,            0.010674,           0.0031393,             0.92118,             0.91058,             0.94376,             0.76154,            0.014251,           0.0045569,           0.0044083,            0.004258,            0.004258,            0.004258
                  31,            0.015221,            0.010375,           0.0031844,             0.93895,             0.91475,             0.95155,              0.7717,            0.013278,           0.0045139,            0.003911,             0.00406,             0.00406,             0.00406
                  32,            0.014685,            0.010486,           0.0028937,             0.93774,             0.91842,             0.95066,              0.7693,            0.013493,           0.0044744,           0.0039264,            0.003862,            0.003862,            0.003862
                  33,            0.014579,            0.010367,           0.0026473,             0.94461,              0.9158,             0.95191,             0.77409,            0.013422,           0.0044406,            0.003852,            0.003664,            0.003664,            0.003664
                  34,            0.014057,            0.010615,           0.0033746,             0.93219,             0.91693,             0.94943,             0.76927,            0.013912,           0.0046393,           0.0039684,            0.003466,            0.003466,            0.003466
                  35,            0.013809,            0.010417,           0.0028327,             0.95698,             0.89397,             0.94782,             0.77347,            0.013188,           0.0044657,           0.0043314,            0.003268,            0.003268,            0.003268
                  36,            0.013598,            0.010113,           0.0027363,              0.9534,             0.90173,             0.95022,             0.77307,            0.013101,           0.0044282,           0.0041109,             0.00307,             0.00307,             0.00307
                  37,            0.013832,            0.010082,           0.0025651,             0.94517,             0.89868,             0.94828,             0.77493,            0.013591,           0.0044948,           0.0043922,            0.002872,            0.002872,            0.002872
                  38,            0.013316,           0.0099142,           0.0026745,             0.94221,             0.90359,             0.94614,             0.77371,            0.012679,           0.0044517,           0.0042997,            0.002674,            0.002674,            0.002674
                  39,            0.012702,            0.009756,           0.0021232,             0.92606,             0.92957,             0.94962,             0.78334,            0.012228,           0.0044469,           0.0041707,            0.002476,            0.002476,            0.002476
                  40,            0.012566,            0.009631,           0.0022213,             0.94661,             0.90975,             0.95335,             0.78445,            0.012332,           0.0044889,           0.0042638,            0.002278,            0.002278,            0.002278
                  41,            0.012338,           0.0095616,           0.0022095,             0.95409,             0.89342,             0.95249,             0.78875,            0.012029,           0.0044166,           0.0044509,             0.00208,             0.00208,             0.00208
                  42,            0.011683,           0.0093818,           0.0019694,             0.93875,             0.92531,             0.95042,             0.78694,            0.012367,           0.0044045,           0.0043162,            0.001882,            0.001882,            0.001882
                  43,            0.011799,           0.0095225,           0.0020463,             0.93978,             0.90646,             0.95187,             0.78732,            0.012162,           0.0044394,           0.0043572,            0.001684,            0.001684,            0.001684
                  44,             0.01137,            0.009359,           0.0017364,             0.92702,             0.93117,             0.94978,             0.78594,            0.012119,           0.0044364,            0.003846,            0.001486,            0.001486,            0.001486
                  45,            0.011497,            0.009293,           0.0016102,             0.93722,              0.9212,             0.95107,             0.78938,            0.011967,            0.004451,           0.0039418,            0.001288,            0.001288,            0.001288
                  46,            0.010777,           0.0088857,           0.0014597,             0.94365,             0.91779,             0.95317,             0.78958,            0.011744,           0.0044204,            0.004013,             0.00109,             0.00109,             0.00109
                  47,            0.010982,           0.0093808,           0.0015406,             0.93772,              0.9114,             0.95033,             0.78224,            0.011596,            0.004424,           0.0043071,            0.000892,            0.000892,            0.000892
                  48,            0.010392,           0.0087207,           0.0014531,             0.92004,             0.93515,             0.95198,             0.79219,             0.01132,           0.0044054,           0.0042478,            0.000694,            0.000694,            0.000694
                  49,            0.010472,           0.0090077,           0.0015509,             0.92188,             0.93543,              0.9521,             0.79409,            0.011204,           0.0043966,           0.0043031,            0.000496,            0.000496,            0.000496
